time,pos,vel,error,output
1.52,6.643239231444703,5.817602885456543,17.473112826264426,11.35853324062997
1.54,6.759504189299402,5.81324789273494,17.356760768555297,11.272289710779537
1.56,6.875663523563237,5.80796671319176,17.240495810700597,11.186397490204953
1.58,6.991699240767149,5.801785860195599,17.124336476436763,11.10086234337006
1.6,7.107593866312895,5.794731277287297,17.008300759232853,11.01568981136598
1.62,7.223330433297642,5.786828349237351,16.892406133687103,10.930885217079087
1.64,7.338892471555616,5.778101912898721,16.77666956670236,10.846453670255615
1.66,7.454263996912791,5.768576267858716,16.661107528444383,10.762400072463633
1.68,7.569429500650663,5.7582751868936,16.54573600308721,10.678729121957819
1.7,7.684373939175252,5.74722192622948,16.430570499349336,10.595445318443895
1.72,7.799082723887511,5.7354392356129695,16.315626060824748,10.512552967749732
1.74,7.913541711251413,5.722949368195064,16.200917276112488,10.430056186400467
1.76,8.027737193056046,5.709774090231617,16.086458288748588,10.347958906102942
1.78,8.14165588686812,5.69593469060372,15.972262806943954,10.266264878138456
1.8,8.255284926671346,5.681451990161245,15.85834411313188,10.184977677667794
1.82,8.3686118536892,5.666346350892752,15.744715073328654,10.104100707948113
1.84,8.4816246073877,5.650637684924909,15.6313881463108,10.023637204465272
1.86,8.594325054997434,5.635022380486712,15.5183753926123,10.0
1.88,8.706720691864534,5.619781843355031,15.405674945002566,10.0
1.9,8.818818833446825,5.60490707911451,15.293279308135466,10.0
1.92,8.93062661963114,5.590389309215762,15.181181166553175,10.0
1.94,9.042151018947031,5.576219965794584,15.06937338036886,10.0
1.96,9.153398832679342,5.5623906866155135,14.957848981052969,10.0
1.98,9.264376698882076,5.548893310136741,14.846601167320658,10.0
2.0,9.375091096295945,5.535719870693459,14.735623301117924,10.0
2.02,9.48554834817188,5.522862593796816,14.624908903704055,10.0
2.04,9.595754626002794,5.510313891545692,14.51445165182812,10.0
2.06,9.705715953165766,5.498066358148596,14.404245373997206,10.0
2.08,9.815438208476827,5.486112765553029,14.294284046834234,10.0
2.1,9.924927129660423,5.474446059179757,14.184561791523173,10.0
2.12,10.034188316735612,5.4630593537594425,14.075072870339577,10.0
2.14,10.143227235320996,5.451945929269216,13.965811683264388,10.0
2.16,10.25204921986033,5.441099226966754,13.856772764679004,10.0
2.18,10.36065947677072,5.430512845519552,13.74795078013967,10.0
2.2,10.469063087515263,5.4201805372270835,13.63934052322928,10.0
2.22,10.577265011601936,5.410096204333634,13.530936912484737,10.0
2.24,10.685270089510528,5.400253895429627,13.422734988398064,10.0
2.26,10.793083045549315,5.390647801939315,13.314729910489472,10.0
2.28,10.90070849064317,5.381272254692772,13.206916954450685,10.0
2.3,11.008150925054773,5.372121720580146,13.09929150935683,10.0
2.32,11.115414741040498,5.363190799286222,12.991849074945227,10.0
2.34,11.222504225442565,5.354474220103353,12.884585258959502,10.0
2.36,11.329423562218983,5.345966838820873,12.777495774557435,10.0
2.38,11.436176834912766,5.337663634689172,12.670576437781017,10.0
2.4,11.542768029061898,5.3295597074566325,12.563823165087234,10.0
2.42,11.649201034551451,5.3216502744776735,12.457231970938102,10.0
2.44,11.755479647909254,5.313930667890209,12.350798965448549,10.0
2.46,11.861607574546472,5.306396331860844,12.244520352090746,10.0
2.48,11.967588430944396,5.299042819896184,12.138392425453528,10.0
2.5,12.07342574678877,5.291865792218675,12.032411569055604,10.0
2.52,12.179122967052878,5.284861013205427,11.92657425321123,10.0
2.54,12.284683454030649,5.278024348888497,11.820877032947122,10.0
2.56,12.390110489320952,5.271351764515173,11.715316545969351,10.0
2.58,12.495407275764288,5.264839322166809,11.609889510679048,10.0
2.6,12.600576939332985,5.258483178434806,11.504592724235712,10.0
2.62,12.705622530976033,5.2522795821523705,11.399423060667015,10.0
2.64,12.810547028419647,5.246224872180713,11.294377469023967,10.0
2.66,12.915353337924614,5.2403154752483765,11.189452971580353,10.0
2.68,13.020044296001462,5.234547903842415,11.084646662075386,10.0
2.7,13.124622671084467,5.228918754150198,10.979955703998538,10.0
2.72,13.229091165165478,5.223424704050593,10.875377328915533,10.0
2.74,13.333452415388546,5.218062511153378,10.770908834834522,10.0
2.76,13.43770899560626,5.212829010885697,10.666547584611454,10.0
2.78,13.541863417898748,5.20772111462444,10.56229100439374,10.0
2.8,13.645918134056217,5.202735807873453,10.458136582101252,10.0
2.82,13.749875537025906,5.1978701484844905,10.354081865943783,10.0
2.84,13.853737962324322,5.193121264920863,10.250124462974094,10.0
2.86,13.957507689415577,5.188486354562762,10.146262037675678,10.0
2.88,14.061186943056642,5.183962682053256,10.042492310584423,10.0
2.9,14.16477789461032,5.179547577683977,9.938813056943358,10.0
2.92,14.268282663326712,5.175238435819562,9.83522210538968,10.0
2.94,14.37170331759391,5.171032713359892,9.731717336673288,10.0
2.96,14.475041876158695,5.166927928239255,9.62829668240609,10.0
2.98,14.578300309317925,5.162921657961513,9.524958123841305,10.0
3.0,14.681480540081333,5.159011538170437,9.421699690682075,10.0
3.02,14.78458444530642,5.155195261254346,9.318519459918667,10.0
3.04,14.887613856806105,5.151470574984242,9.21541555469358,10.0
3.06,14.990570562429797,5.14783528118462,9.112386143193895,10.0
